yiddish,transliteration
איך האָב אַ פֿראַגע,ikh hob a frage
איך האָב אַ קשיא,ikh hob a kashe
איך האָב דיך ליב,ikh hob dikh lib
איך הייס,ikh heys
איך ווייס,ikh veys
איך רעד ניט קיין ענגליש,ikh red nit keyn english
אילינאָי,ilinoy
אילינוי,ilinoy
אים,im
אימאַם,imam
אימיגראַנט,imigrant
אימיגראַציע,imigratsye
אין,in
אין אַ שיינעם עפּל געפֿינט מען אַ מאָל אַ וואָרעם,in a sheynem epl gefint men a mol a vorem
אין איינעם,in eynem
אין דער אמתן,in der emesn
אין כּעס,in kas
אינגבער,ingber
אינד,ind
אינדזל,indzl
אינדיאַנאַ,indyana
אינדיאַנע,indyane
אינדיע,indye
אינדיק,indik
אינהאַלט,inhalt
אינוואַליד,invalid
אינזל,inzl
אינזשעניר,inzhenir
אינזשעניריע,inzhenirye
אינזשענער,inzhener
אינזשענעריע,inzhenerye
אינטים,intim
אינטימיש,intimish
אינטער־,inter-
אינטערנאַציאָנאַל,internatsyonal
אינטערנעט,internet
אינטערנעץ,internets
אינטערעסאַנט,interesant
אינטערקאָנטינענטאַל,interkontinental
איניציאַטיוו,initsyativ
אינם,inem
אינמיטן,inmitn
אינסטיטוט,institut
אינסטרומענט,instrument
אינסעקט,insekt
אינעם,inem
אינפֿיניטיוו,infinitiv
אינפֿלאַציע,inflatsye
אינפֿעקציע,infektsye
איסאָמער,isomer
איסור,iser
איסטאַנבול,istanbul
איסלאַם,islam
איסלאַמיסט,islamist
איסלאַמיסטיש,islamistish
איסלאַמיש,islamish
איסלאַמער,islamer
איסלאַנד,island
איצט,itst
איצטער,itster
איצטערט,itstert
איציק,itsik
איר,ir
איראַן,iran
איראַניש,iranish
איראַק,Irák
אירלאַנד,irland
אירלענדער,irlender
אירע,ire
אך,akh
אכוץ,akhuts
אלול,elel
אליהו,elyohu
אליעזר,elyezer
אלף,alef
אלף־בית,alef-beys
אם־ירצה־השם,"im-yirtse-hashem, mirtseshem"
אמונה,emune
אמורא,amoyre
אמן,omeyn
אמן־זאָגער,omeyn-zoger
אמת,emes
אמתדיק,emesdik
אן,an
אנטשטייאונג,antshteyung
אסור,oser
אסתּר,ester
אסתּרל,esterl
אפיקומן,afikoymen
אפֿשר,efsher
ארגון,irgun
ארון,orn
אריה,arye
ארץ־ישׂראל,erets yisroel
אתרוג,esreg
אױסגאַבע,oysgabe
אױסלינקען,oyslinken
אײַאָוואַ,ayova
אײַאָווע,ayove
אײַדאַהאָ,aydaho
אײַדעהאָ,aydeho
אײַז,ayz
אײַז־ים,ayz-yam
אײַזיק,ayzik
אײַזן,ayzn
אײַזנבאַן,ayznban
אײַזנגעשעפֿט,ayzngesheft
אײַזקרעם,ayzkrem
אײַך,aykh
אײַליק,aylik
אײַן־,ayn-
אײַנגעשרומפּן,ayngeshrumpn
אײַנדרוקספֿול,ayndruksful
אײַנמאַכן,aynmakhn
אײַנפֿאַל,aynfal
אײַנשטיין,aynshteyn
אײַנשרומפּן,aynshrumpn
אײַער,ayer
אײַראָפּלאַן,ayroplan
ב,beys
בֿ,veys
באַ,ba
באַ־,ba-
באַאײַנפֿלוסן,baaynflusn
באָב,bob
באַבע,babe
באָבע,bobe
באָבע־זיידע,bobe-zeyde
באָבע־מעשׂה,bobe-mayse
באַבקע,babke
באָבקע,bobke
באָבקעס,bobkes
באַגאַזש,bagazh
באַגינען,baginen
באַגנוגענען זיך,bagnugenen zikh
באַגעגעניש,bagegenish
באַגער,bager
באַגערן,bagern
באַגראָבן,bagrobn
באַגריף,bagrif
באַגריפֿיק,bagrifik
באַגרעבער,bagreber
באָד,bod
באָד-יונג,bod-yung
באַדאַרף,badarf
באַדאַרפֿן,badarfn
באָדהיטל,bodhitl
באָדן,bodn
באַדעקנס,badekns
באָדקאָסטום,bodkostum
באַדריקונג,badrikung
באַדריקן,badrikn
באַדײַטונג,badaytung
באַדײַטן,badaytn
באַהאַלטן,bahaltn
באַהן,bahn
באַהערשן,bahershn
באַוווּסט,bavust
באַוועגונג,bavegung
באַזאַלט,bazalt
באַזוך,bazukh
באַזוכן,bazukhn
באַזוכער,bazukher
באַזל,bazl
באָזשע מוי,bozhe moy
באַחנט,bakhéynt
באַטיושקע,batyushke
באָטל,botl
באַטעמט,batámt
באַטײַטן,bataytn
באָיאַרין,boyarin
באַכמאַט,bakhmat
באַל,bal
באַלאַגאַן,balagan
באַלאַד,balad
באַלאַדע,balade
באַלאַלײַקע,balalayke
באַלד,bald
באַלדיק,baldik
באָלוואַן,bol'van
באַליבט,balibt
באַליסטיש,balistish
באַלן,baln
באַלעבאָס,balebos
באַלעבאָסטע,baleboste
באַלעם,balem
באָלשעוויזם,bolshevizm
באָלשעוויסט,bolshevist
באָלשעוויק,bolshevik
באַם,bam
באַן,ban
באַנאַנע,banane
באַנדזשאָ,bandzho
באַנדיט,bandit
באָנדער,bonder
באַנוגענען זיך,banugenen zikh
באַניץ,banits
באַניצן,banitsn
באַנק,bank
באַנק־קוועטשער,bank-kvetsher
באַנקבעטל,bankbetl
באַנקיר,bankir
באַנקירער,bankirer
באַס,bas
באַסטאַ,basta
באָסטאָן,boston
באָסניאַק,bosnyak
באָסניע,bosnye
באָסניע און הערצעגאָווינע,bosnye un hertsegovine
באַסקעטבאָל,basketbol
באַפּטיסט,baptist
באַפּטיסטיש,baptistish
באַפֿעלקערונג,bafelkerung
באַפֿרײַונג,bafrayung
באַפֿרײַען,bafrayen
באַפֿרײַער,bafrayer
באָץ,bots
באַצאָלן,batsoln
באַק,bak
באַקאַנט,bakant
באַקאַראַ,bakara
באַקומען,bakumen
באַקטעריאָלאָגיע,bakteryologye
באַקלאַוואַ,baklava
באַקלערן,baklern
באַקן,bakn
באַקעמפֿן,bakemfn
באַר,bar
באַראָן,baron
באַרבאַן,barban
באַרג,barg
באָרד,bord
באָרדער,border
באָרוועס,borves
באַרימט,barimt
באָרשט,borsht
באַשאַפֿונג,bashafung
באַשאַפֿן,bashafn
באַשאַפֿער,bashafer
באַשולדיקן,bashuldikn
באַשטאַנד,bashtand
באַשטאַנדטייל,bashtandteyl
באַשטיין,bashteyn
באַשלוס,bashlus
באַשליסן,bashlisn
באַשעפֿעניש,bashefenish
באַשעפֿער,bashefer
באַשערט,bashert
באַשײַנען,bashaynen
באלדיק,baldik
באשר,bansher
בבֿל,bovl
בבֿלי,bovli
בגד,beged
בדחן,badkhn
בהדרגה,behadroge
בהלה,behole
בהמה,beheyme
בובע,bube
בובעלע,bubele
בודאַפּעשט,budapesht
בודהיזם,budhizm
בודהיסט,budhist
בודהיסטיש,budhistish
בוהיי,buhay
בוהײַ,buhay
בויגיק,boygik
בויגן,boygn
בויגן־שיסער,boygn-shiser
בויטשיק,boytshik
בויטשיקל,boytshikl
בויך,boykh
בויכרעדער,boykhreder
בוים,boym
בויען,boyen
בויערן,boyern
בוך,bukh
בולבע,bulbe
בולגאַריע,bulgarye
בולגאַריש,bulgarish
בולט,boylet
בונד,bund
בונדיזם,bundizm
בונדיסט,bundist
בונדיש,bundish
בוענאָס אײַרעס,buenos ayres
בוענאָס־אײַרעס,buenos-ayres
בוקאַרעשט,bukaresht
בוקן,bukn
בוקסיר,buksir
בור,bur
בורא,boyre
בורג,burg
בורטשען,burtshen
בוריק,burik
בורמישטש,burmishtsh
בחור,bokher
בחינה,bkhine
בחינם,bkhinem
ביאָ־,byo-
ביאָגראַפֿיע,byografye
ביאָכעמיע,byokhemye
ביאָלאָגיש,byologish
ביאַלאָסטאָק,Byalostok
ביאַלי,bialy
ביבל,bibl
ביבליאָטעק,biblyotek
ביבליאָטעקער,biblyoteker
ביבליאָטעקעראין,biblyotekerin
ביבער,biber
בידנע,bidne
ביוראָ,byuro
ביוראָקראַט,byurokrat
ביוראָקראַטיע,byurokratye
ביז,biz
ביז הונדערט און צוואַנציק,biz hundert un tsvantsik
ביזן,bizn
ביט,bit
ביטער,biter
